City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Asyut,EG,27.181,31.1837,91.29,19,0,7.81,clear sky
315,Oudtshoorn,ZA,-33.5907,22.2014,50.32,88,100,4.76,light rain
316,Urumqi,CN,43.801,87.6005,67.15,56,0,6.71,moderate rain
317,Lingen,DE,52.5167,7.3167,95.27,32,5,10.27,clear sky
318,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,20,17.27,few clouds
319,Alice Town,BS,25.7167,-79.3,83.32,71,0,8.12,clear sky
320,Tyup,KG,42.7276,78.3648,52.07,73,4,6.2,clear sky
321,Togur,RU,58.3631,82.8265,53.8,88,87,5.21,overcast clouds
322,Molina,CL,-35.1167,-71.2833,46.13,87,40,8.05,haze
323,Mungaa,TZ,-4.9667,34.8833,59.95,62,6,9.15,clear sky
324,Port-Gentil,GA,-0.7193,8.7815,73.36,83,40,6.91,scattered clouds
325,Siva,EG,29.2041,25.5195,90.81,20,2,8.46,clear sky
326,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,81,76,5.1,broken clouds
327,Oranjemund,NA,-28.55,16.4333,55.04,82,0,15.79,clear sky
328,Saint-Francois,FR,46.4154,3.9054,92.64,29,0,11.5,clear sky
329,Mahibadhoo,MV,3.7833,72.9667,82.26,77,100,16.04,overcast clouds
330,Kampene,CD,-3.6,26.6667,71.74,73,99,2.55,overcast clouds
331,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,94,75,11.5,broken clouds
332,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,44,20,28.77,dust
333,Kakonko,TZ,-3.2828,30.9642,73.44,39,93,2.35,overcast clouds
334,Luanda,AO,-8.8368,13.2343,69.8,88,20,10.36,few clouds
335,Yabelo,ET,4.8833,38.0833,60.33,65,100,11.45,overcast clouds
336,Beisfjord,NO,68.3751,17.5988,59.05,82,88,3.02,overcast clouds
337,Anloga,GH,5.7947,0.8973,75.72,74,88,13.29,overcast clouds
338,Berdsk,RU,54.7551,83.0967,55.0,82,56,4.59,broken clouds
339,Puerto Suarez,BO,-18.95,-57.8,95.36,43,0,6.91,clear sky
340,Wawa,NG,9.9022,4.4192,77.88,68,89,5.23,overcast clouds
341,Benjamin Constant,BR,-4.3831,-70.0311,84.33,74,40,3.44,scattered clouds
342,Nyrob,RU,60.733,56.7202,64.24,97,100,8.86,light rain
343,Rota,ES,36.6224,-6.3586,86.09,73,0,11.5,clear sky
344,Samokov,BG,42.3333,23.55,66.7,55,0,2.37,clear sky
345,Faya,SA,18.3851,42.4509,66.72,50,100,11.79,light rain
